Orthogroup	LORF_EL90.pep	SPU_peptide
OG0000506	TRINITY_DN1799_c0_g1_i1.p1, TRINITY_DN1799_c0_g1_i2.p1, TRINITY_DN1799_c0_g1_i3.p1	SPU_004732
OG0000507	TRINITY_DN1732_c0_g1_i8.p1	SPU_002901
OG0000507	TRINITY_DN7093_c0_g1_i3.p1	SPU_028158
OG0000508	TRINITY_DN506_c0_g1_i5.p1	SPU_007134
OG0000508	TRINITY_DN2601_c0_g1_i5.p1	SPU_004395
OG0000509	TRINITY_DN2683_c0_g1_i1.p1, TRINITY_DN2683_c0_g1_i6.p1	SPU_024852, SPU_005449
OG0000510	TRINITY_DN15362_c0_g1_i3.p1, TRINITY_DN2837_c2_g1_i2.p1	SPU_005644, SPU_019952
OG0000511	TRINITY_DN2892_c0_g1_i8.p1, TRINITY_DN2892_c0_g1_i3.p1	SPU_028412, SPU_016505
OG0000512	TRINITY_DN2802_c0_g1_i1.p1, TRINITY_DN2802_c0_g1_i9.p1, TRINITY_DN2802_c0_g1_i3.p1	SPU_001746
OG0000513	TRINITY_DN2808_c0_g1_i15.p1, TRINITY_DN2808_c0_g1_i1.p1, TRINITY_DN2808_c0_g1_i9.p1	SPU_013906
OG0000514	TRINITY_DN2916_c0_g1_i2.p1, TRINITY_DN2916_c0_g1_i9.p1	SPU_028084, SPU_018422
OG0000515	TRINITY_DN2904_c1_g1_i15.p1, TRINITY_DN2904_c1_g1_i10.p1, TRINITY_DN2904_c1_g1_i17.p1	SPU_021235
OG0000516	TRINITY_DN3069_c0_g1_i6.p1	SPU_006505
OG0000516	TRINITY_DN3069_c0_g1_i2.p1	SPU_004267
OG0000517	TRINITY_DN3054_c1_g1_i9.p1, TRINITY_DN3054_c1_g1_i7.p2, TRINITY_DN3054_c1_g1_i5.p1	SPU_010343
OG0000518	TRINITY_DN3132_c0_g1_i3.p1, TRINITY_DN3132_c0_g1_i15.p1, TRINITY_DN3132_c0_g1_i23.p1	SPU_006104
OG0000519	TRINITY_DN3325_c0_g1_i6.p1, TRINITY_DN3325_c0_g1_i7.p1, TRINITY_DN3325_c0_g1_i5.p1	SPU_020738
OG0000520	TRINITY_DN3396_c0_g1_i1.p1	SPU_009207, SPU_028333, SPU_004316
OG0000521	TRINITY_DN3317_c0_g1_i5.p1, TRINITY_DN3317_c0_g1_i8.p1, TRINITY_DN3317_c0_g1_i6.p1	SPU_004807
OG0000522	TRINITY_DN3465_c0_g1_i1.p1	SPU_028461
OG0000522	TRINITY_DN6876_c0_g1_i3.p1	SPU_019439
OG0000523	TRINITY_DN3560_c0_g2_i1.p1	SPU_020414
OG0000523	TRINITY_DN3560_c0_g1_i4.p1	SPU_026503
OG0000524	TRINITY_DN3576_c0_g1_i8.p1	SPU_008007, SPU_016158, SPU_011135
OG0000525	TRINITY_DN3779_c0_g1_i6.p1, TRINITY_DN3779_c0_g1_i4.p1, TRINITY_DN3779_c0_g1_i7.p1	SPU_001030
OG0000526	TRINITY_DN3715_c0_g1_i4.p1, TRINITY_DN3715_c0_g1_i7.p1, TRINITY_DN3715_c0_g1_i1.p1	SPU_000439
OG0000527	TRINITY_DN3754_c0_g1_i8.p1, TRINITY_DN3754_c0_g1_i10.p1, TRINITY_DN3754_c0_g1_i2.p1	SPU_018132
OG0000528	TRINITY_DN3777_c0_g1_i4.p1, TRINITY_DN3777_c0_g1_i7.p1, TRINITY_DN3777_c0_g1_i6.p1	SPU_004621
OG0000529	TRINITY_DN4320_c0_g1_i7.p1	SPU_006421, SPU_021947, SPU_020110
OG0000530	TRINITY_DN4355_c0_g1_i6.p1, TRINITY_DN4355_c0_g1_i2.p1, TRINITY_DN4355_c0_g1_i5.p1	SPU_015851
OG0000531	TRINITY_DN4347_c0_g1_i4.p1	SPU_001127
OG0000531	TRINITY_DN4347_c0_g1_i1.p1	SPU_001126
OG0000532	TRINITY_DN5521_c0_g1_i1.p1, TRINITY_DN5521_c0_g1_i2.p1	SPU_008333, SPU_004838
OG0000533	TRINITY_DN5545_c0_g1_i4.p1	SPU_021581
OG0000533	TRINITY_DN5545_c0_g1_i7.p1	SPU_019009
OG0000534	TRINITY_DN5546_c0_g1_i4.p1, TRINITY_DN5546_c0_g1_i6.p1	SPU_005355, SPU_014527
OG0000535	TRINITY_DN5527_c0_g1_i4.p1	SPU_025601, SPU_017106, SPU_005718
OG0000536	TRINITY_DN5542_c0_g2_i4.p1, TRINITY_DN5542_c0_g2_i1.p1, TRINITY_DN5542_c0_g2_i3.p1	SPU_019608
OG0000537	TRINITY_DN6206_c0_g1_i1.p1	SPU_028036
OG0000537	TRINITY_DN6206_c0_g1_i5.p1	SPU_020157
OG0000538	TRINITY_DN6322_c0_g2_i3.p1	SPU_003641, SPU_001648, SPU_014328
OG0000539	TRINITY_DN6672_c0_g2_i1.p1, TRINITY_DN6672_c0_g4_i1.p1	SPU_000577, SPU_002608
OG0000540	TRINITY_DN7144_c0_g1_i1.p1	SPU_006007
OG0000540	TRINITY_DN12031_c0_g1_i4.p1	SPU_011468
OG0000541	TRINITY_DN7177_c0_g1_i6.p1	SPU_003173
OG0000541	TRINITY_DN17517_c0_g1_i1.p1	SPU_013719
OG0000542	TRINITY_DN7181_c0_g1_i2.p2, TRINITY_DN49864_c0_g1_i1.p1	SPU_005490, SPU_016000
OG0000543	TRINITY_DN7465_c0_g1_i5.p1, TRINITY_DN7465_c0_g1_i6.p1	SPU_015951, SPU_019310
OG0000544	TRINITY_DN39147_c0_g1_i1.p1	SPU_005590
OG0000544	TRINITY_DN7479_c0_g1_i1.p1	SPU_009217
OG0000545	TRINITY_DN7799_c0_g1_i4.p1, TRINITY_DN7799_c0_g1_i3.p1, TRINITY_DN7799_c0_g1_i6.p1	SPU_016310
OG0000546	TRINITY_DN14259_c0_g1_i1.p1, TRINITY_DN7711_c0_g1_i6.p1, TRINITY_DN7711_c0_g1_i4.p1	SPU_006826
OG0000547	TRINITY_DN8445_c0_g1_i14.p1, TRINITY_DN8445_c0_g1_i12.p1, TRINITY_DN8445_c0_g1_i8.p1	SPU_013440
OG0000548	TRINITY_DN84320_c0_g1_i1.p1	SPU_019482
OG0000548	TRINITY_DN8454_c0_g1_i1.p1	SPU_002636
OG0000549	TRINITY_DN9117_c0_g1_i14.p1	SPU_012739
OG0000549	TRINITY_DN9117_c0_g1_i6.p1	SPU_020844
OG0000550	TRINITY_DN9401_c0_g1_i30.p1, TRINITY_DN9401_c0_g1_i33.p1	SPU_020460, SPU_010517
OG0000551	TRINITY_DN9456_c0_g1_i6.p1, TRINITY_DN9456_c0_g1_i5.p1, TRINITY_DN9456_c0_g1_i13.p1	SPU_023712
OG0000552	TRINITY_DN9424_c0_g1_i3.p1, TRINITY_DN9424_c0_g1_i5.p1, TRINITY_DN9424_c0_g1_i9.p1	SPU_008073
OG0000553	TRINITY_DN9571_c0_g1_i9.p1, TRINITY_DN9571_c0_g1_i1.p1	SPU_020223, SPU_024407
OG0000554	TRINITY_DN9645_c0_g1_i4.p1, TRINITY_DN9645_c0_g1_i11.p1	SPU_018133, SPU_021142
OG0000555	TRINITY_DN9642_c0_g1_i2.p1	SPU_016405, SPU_015410, SPU_016655
OG0000556	TRINITY_DN9814_c0_g1_i12.p1, TRINITY_DN9814_c0_g1_i1.p1, TRINITY_DN9814_c0_g1_i2.p1	SPU_009963
OG0000557	TRINITY_DN10276_c0_g1_i1.p1	SPU_020247, SPU_006881, SPU_005406
OG0000558	TRINITY_DN10209_c0_g1_i1.p1	SPU_009525
OG0000558	TRINITY_DN43953_c0_g1_i3.p1	SPU_005892
OG0000559	TRINITY_DN21990_c0_g1_i1.p1	SPU_020770
OG0000559	TRINITY_DN10275_c0_g1_i3.p1	SPU_028695
OG0000560	TRINITY_DN10672_c0_g1_i5.p1, TRINITY_DN10672_c0_g1_i7.p1, TRINITY_DN10672_c0_g1_i6.p1	SPU_004874
OG0000561	TRINITY_DN111050_c0_g1_i1.p1	SPU_001964
OG0000561	TRINITY_DN10694_c0_g1_i5.p1	SPU_024052
OG0000562	TRINITY_DN104438_c0_g1_i1.p1	SPU_016650
OG0000562	TRINITY_DN10754_c0_g1_i1.p1	SPU_011082
OG0000563	TRINITY_DN10714_c0_g1_i4.p1	SPU_019454
OG0000563	TRINITY_DN84105_c0_g1_i1.p1	SPU_025507
OG0000564	TRINITY_DN1998_c0_g1_i4.p1	SPU_007722
OG0000564	TRINITY_DN10791_c0_g1_i1.p1	SPU_007272
OG0000565	TRINITY_DN11177_c0_g1_i6.p1	SPU_024511, SPU_010015, SPU_021396
OG0000566	TRINITY_DN11201_c0_g1_i2.p1, TRINITY_DN11201_c0_g1_i8.p1	SPU_000268, SPU_014511
OG0000567	TRINITY_DN66762_c0_g1_i1.p1, TRINITY_DN11470_c0_g1_i12.p4, TRINITY_DN11470_c0_g1_i3.p4	SPU_008235
OG0000568	TRINITY_DN11424_c0_g1_i4.p1, TRINITY_DN11424_c0_g1_i7.p1, TRINITY_DN11424_c0_g1_i5.p1	SPU_021649
OG0000569	TRINITY_DN11422_c0_g1_i1.p1	SPU_013598
OG0000569	TRINITY_DN11422_c0_g1_i4.p1	SPU_007395
OG0000570	TRINITY_DN11729_c0_g1_i5.p1, TRINITY_DN11729_c0_g1_i11.p1, TRINITY_DN11729_c0_g1_i2.p1	SPU_011399
OG0000571	TRINITY_DN12797_c0_g1_i6.p1, TRINITY_DN12797_c0_g1_i9.p1, TRINITY_DN12797_c0_g1_i5.p1	SPU_023842
OG0000572	TRINITY_DN12753_c0_g1_i4.p1	SPU_014059, SPU_007920, SPU_007919
OG0000573	TRINITY_DN12772_c0_g1_i4.p1	SPU_000717
OG0000573	TRINITY_DN1230_c0_g1_i5.p1	SPU_005362
OG0000574	TRINITY_DN12854_c0_g1_i2.p1, TRINITY_DN12854_c0_g1_i5.p1	SPU_015039, SPU_015038
OG0000575	TRINITY_DN13474_c0_g1_i4.p1, TRINITY_DN13474_c0_g1_i9.p1, TRINITY_DN13474_c0_g1_i6.p1	SPU_014062
OG0000576	TRINITY_DN14539_c0_g1_i9.p1	SPU_016768
OG0000576	TRINITY_DN14539_c0_g1_i4.p1	SPU_003719
OG0000577	TRINITY_DN15179_c0_g1_i2.p1, TRINITY_DN15179_c0_g1_i3.p1	SPU_025520, SPU_025459
OG0000578	TRINITY_DN15177_c0_g1_i7.p1, TRINITY_DN15177_c0_g1_i6.p1, TRINITY_DN15177_c0_g1_i3.p2	SPU_001482
OG0000579	TRINITY_DN15704_c0_g1_i2.p1, TRINITY_DN15704_c0_g1_i5.p1	SPU_000936, SPU_030143
OG0000580	TRINITY_DN17158_c0_g1_i4.p1, TRINITY_DN17158_c0_g1_i5.p1, TRINITY_DN17158_c0_g1_i6.p1	SPU_018771
OG0000581	TRINITY_DN18248_c0_g1_i6.p2, TRINITY_DN18248_c0_g1_i2.p1	SPU_004380, SPU_026777
OG0000582	TRINITY_DN18607_c0_g1_i1.p1, TRINITY_DN18607_c0_g1_i7.p1, TRINITY_DN18607_c0_g1_i4.p1	SPU_011628
OG0000583	TRINITY_DN18659_c0_g2_i3.p1, TRINITY_DN47322_c0_g1_i6.p1	SPU_026981, SPU_016436
OG0000584	TRINITY_DN18619_c0_g1_i2.p1, TRINITY_DN18619_c0_g1_i1.p1, TRINITY_DN18619_c0_g1_i3.p1	SPU_025481
OG0000585	TRINITY_DN18878_c0_g1_i6.p1, TRINITY_DN18878_c0_g1_i12.p1	SPU_004348, SPU_017087
OG0000586	TRINITY_DN20290_c0_g1_i12.p1, TRINITY_DN20290_c0_g1_i1.p1, TRINITY_DN20290_c0_g1_i7.p1	SPU_024595
OG0000587	TRINITY_DN50603_c0_g1_i4.p1, TRINITY_DN50603_c0_g1_i1.p1, TRINITY_DN21727_c0_g1_i7.p1	SPU_015978
OG0000588	TRINITY_DN21887_c0_g1_i4.p1, TRINITY_DN21887_c0_g1_i1.p1, TRINITY_DN21887_c0_g1_i6.p1	SPU_021874
OG0000589	TRINITY_DN21854_c0_g1_i4.p1	SPU_002720, SPU_001056, SPU_016723
OG0000590	TRINITY_DN22479_c0_g1_i6.p1	SPU_004811
OG0000590	TRINITY_DN69588_c0_g1_i6.p1	SPU_006543
OG0000591	TRINITY_DN23205_c0_g1_i6.p1, TRINITY_DN23205_c0_g1_i3.p1, TRINITY_DN23205_c0_g1_i11.p1	SPU_015233
OG0000592	TRINITY_DN24802_c0_g1_i5.p1	SPU_006437
OG0000592	TRINITY_DN24802_c0_g1_i9.p1	SPU_006438
OG0000593	TRINITY_DN25452_c0_g1_i6.p1, TRINITY_DN7857_c2_g1_i6.p1	SPU_001464, SPU_013923
OG0000594	TRINITY_DN26785_c0_g1_i1.p1, TRINITY_DN26785_c0_g1_i3.p1	SPU_026264, SPU_016408
OG0000595	TRINITY_DN26794_c0_g1_i4.p1, TRINITY_DN26794_c0_g1_i2.p1, TRINITY_DN26794_c0_g1_i1.p1	SPU_016306
OG0000596	TRINITY_DN28621_c0_g1_i2.p4, TRINITY_DN72990_c0_g1_i1.p1, TRINITY_DN7514_c0_g1_i6.p2	SPU_006542
OG0000597	TRINITY_DN28819_c0_g1_i20.p1, TRINITY_DN28819_c0_g1_i4.p1	SPU_016197, SPU_009494
OG0000598	TRINITY_DN29449_c0_g1_i6.p1, TRINITY_DN29449_c0_g1_i1.p1	SPU_004554, SPU_010126
OG0000599	TRINITY_DN29595_c2_g1_i5.p1, TRINITY_DN29595_c2_g1_i3.p1	SPU_004500, SPU_007052
OG0000600	TRINITY_DN30368_c0_g1_i9.p1	SPU_027443, SPU_012977, SPU_018059
OG0000601	TRINITY_DN31699_c0_g1_i4.p2, TRINITY_DN31699_c0_g1_i1.p2	SPU_020165, SPU_006965
OG0000602	TRINITY_DN31955_c1_g1_i5.p1	SPU_003447
OG0000602	TRINITY_DN31955_c1_g1_i4.p1	SPU_003446
OG0000603	TRINITY_DN32634_c0_g1_i5.p1, TRINITY_DN32634_c0_g1_i7.p1, TRINITY_DN32634_c0_g1_i4.p1	SPU_001297
OG0000604	TRINITY_DN33207_c0_g1_i5.p2	SPU_010314
OG0000604	TRINITY_DN25763_c0_g1_i2.p1	SPU_011396
OG0000605	TRINITY_DN35069_c0_g1_i2.p1, TRINITY_DN35069_c0_g1_i4.p1	SPU_001906, SPU_028730
OG0000606	TRINITY_DN35354_c0_g1_i1.p1, TRINITY_DN12989_c1_g1_i6.p1, TRINITY_DN12989_c1_g1_i12.p1	SPU_011662
OG0000607	TRINITY_DN56944_c0_g1_i8.p1	SPU_022830
OG0000607	TRINITY_DN36682_c0_g1_i7.p1	SPU_022831
OG0000608	TRINITY_DN37045_c0_g1_i6.p1, TRINITY_DN37045_c0_g1_i12.p1, TRINITY_DN37045_c0_g1_i7.p1	SPU_006935
OG0000609	TRINITY_DN38758_c0_g1_i13.p1	SPU_017487
OG0000609	TRINITY_DN106530_c0_g1_i1.p1	SPU_005613
OG0000610	TRINITY_DN38769_c0_g3_i1.p1	SPU_017821, SPU_007996, SPU_024302
OG0000611	TRINITY_DN38985_c1_g1_i5.p2	SPU_011992, SPU_010613, SPU_002042
OG0000612	TRINITY_DN38994_c0_g1_i4.p1, TRINITY_DN38994_c0_g1_i6.p1	SPU_014936, SPU_022935
OG0000613	TRINITY_DN49747_c0_g1_i2.p1, TRINITY_DN39437_c0_g1_i4.p1	SPU_021267, SPU_010526
OG0000614	TRINITY_DN39410_c0_g1_i3.p1, TRINITY_DN39410_c0_g1_i1.p1	SPU_024321, SPU_006522
OG0000615	TRINITY_DN31810_c0_g1_i1.p1, TRINITY_DN39791_c0_g1_i1.p1, TRINITY_DN39791_c0_g2_i1.p1	SPU_001852
OG0000616	TRINITY_DN107818_c0_g1_i1.p1, TRINITY_DN40090_c0_g1_i1.p1, TRINITY_DN101664_c0_g1_i1.p1	SPU_006516
OG0000617	TRINITY_DN40111_c0_g1_i6.p1, TRINITY_DN40111_c0_g1_i9.p1	SPU_022131, SPU_006166
OG0000618	TRINITY_DN41643_c0_g1_i5.p1, TRINITY_DN41643_c0_g1_i7.p1	SPU_014649, SPU_024977
OG0000619	TRINITY_DN41685_c0_g1_i4.p1	SPU_024282, SPU_024284, SPU_024283
OG0000620	TRINITY_DN41777_c0_g1_i1.p1	SPU_019466, SPU_026652, SPU_019468
OG0000621	TRINITY_DN42770_c0_g1_i5.p1, TRINITY_DN17259_c0_g1_i7.p1	SPU_005757, SPU_018421
OG0000622	TRINITY_DN43769_c0_g1_i7.p1, TRINITY_DN78980_c0_g1_i1.p1	SPU_023877, SPU_023725
OG0000623	TRINITY_DN44101_c0_g1_i12.p1, TRINITY_DN44101_c0_g1_i13.p1, TRINITY_DN44101_c0_g1_i5.p1	SPU_007618
OG0000625	TRINITY_DN46812_c0_g1_i4.p2, TRINITY_DN46812_c0_g1_i8.p1, TRINITY_DN46812_c0_g1_i5.p1	SPU_004151
OG0000626	TRINITY_DN93090_c0_g1_i2.p1, TRINITY_DN47211_c0_g1_i1.p1	SPU_016041, SPU_005815
OG0000627	TRINITY_DN47277_c0_g1_i7.p1, TRINITY_DN47277_c0_g1_i6.p1	SPU_028914, SPU_027249
OG0000628	TRINITY_DN48543_c0_g1_i5.p1, TRINITY_DN50529_c0_g1_i1.p1	SPU_008201, SPU_002849
OG0000629	TRINITY_DN48528_c0_g1_i4.p1, TRINITY_DN48528_c0_g1_i5.p1	SPU_023485, SPU_023490
OG0000630	TRINITY_DN50570_c0_g1_i2.p1	SPU_012039, SPU_014829, SPU_000646
OG0000631	TRINITY_DN52995_c0_g1_i2.p1, TRINITY_DN52995_c0_g1_i3.p1, TRINITY_DN52995_c0_g1_i1.p1	SPU_008448
OG0000632	TRINITY_DN54275_c0_g1_i5.p1, TRINITY_DN54275_c0_g1_i2.p1	SPU_004246, SPU_011144
OG0000633	TRINITY_DN54322_c0_g1_i3.p1, TRINITY_DN54322_c0_g1_i2.p1	SPU_021254, SPU_002187
OG0000634	TRINITY_DN56476_c0_g1_i1.p1	SPU_010576, SPU_028934, SPU_007306
OG0000635	TRINITY_DN70090_c0_g1_i1.p1	SPU_008384
OG0000635	TRINITY_DN57411_c0_g1_i2.p1	SPU_015198
OG0000636	TRINITY_DN78341_c0_g1_i1.p1, TRINITY_DN59136_c0_g1_i1.p1	SPU_016710, SPU_015904
OG0000637	TRINITY_DN59742_c0_g1_i5.p1	SPU_003529, SPU_000494, SPU_000495
OG0000638	TRINITY_DN59841_c0_g1_i4.p1	SPU_002342, SPU_006884, SPU_003285
OG0000639	TRINITY_DN103680_c0_g1_i1.p1, TRINITY_DN59883_c0_g1_i1.p1, TRINITY_DN62030_c0_g1_i1.p1	SPU_026290
OG0000640	TRINITY_DN82283_c0_g1_i1.p1, TRINITY_DN59847_c0_g1_i1.p1	SPU_027996, SPU_007442
OG0000641	TRINITY_DN62246_c0_g1_i1.p1	SPU_000064, SPU_028063, SPU_010387
OG0000642	TRINITY_DN64103_c0_g1_i3.p1, TRINITY_DN64103_c0_g1_i2.p1, TRINITY_DN64103_c0_g1_i1.p1	SPU_003885
OG0000643	TRINITY_DN102356_c0_g1_i1.p1	SPU_012758
OG0000643	TRINITY_DN65559_c0_g1_i1.p1	SPU_005829
OG0000644	TRINITY_DN65522_c0_g1_i4.p1	SPU_014560, SPU_009363, SPU_019515
OG0000645	TRINITY_DN66825_c0_g1_i1.p1, TRINITY_DN31224_c0_g1_i4.p1	SPU_019679, SPU_000613
OG0000646	TRINITY_DN66848_c0_g1_i1.p1	SPU_022747, SPU_012181, SPU_006862
OG0000647	TRINITY_DN113606_c0_g1_i1.p1, TRINITY_DN111960_c0_g1_i1.p1, TRINITY_DN67539_c0_g1_i1.p1	SPU_019242
OG0000648	TRINITY_DN67956_c0_g2_i1.p2, TRINITY_DN56548_c0_g1_i1.p1, TRINITY_DN70173_c0_g1_i3.p1	SPU_022030
OG0000649	TRINITY_DN68541_c0_g1_i1.p1	SPU_017288, SPU_003550, SPU_002033
OG0000650	TRINITY_DN68545_c0_g1_i3.p1, TRINITY_DN68545_c0_g1_i1.p1	SPU_030119, SPU_030127
OG0000651	TRINITY_DN88527_c0_g1_i1.p1	SPU_023946
OG0000651	TRINITY_DN69738_c0_g1_i1.p1	SPU_023050
OG0000652	TRINITY_DN70181_c0_g1_i5.p1, TRINITY_DN70181_c0_g1_i4.p1	SPU_004725, SPU_001607
OG0000653	TRINITY_DN73088_c0_g1_i5.p1, TRINITY_DN73088_c0_g1_i17.p1, TRINITY_DN73088_c0_g1_i2.p1	SPU_028437
OG0000654	TRINITY_DN73289_c0_g1_i1.p1, TRINITY_DN81528_c0_g1_i1.p1, TRINITY_DN60165_c0_g1_i1.p1	SPU_015008
OG0000655	TRINITY_DN86583_c0_g1_i1.p1	SPU_010817
OG0000655	TRINITY_DN75178_c0_g1_i1.p1	SPU_012224
OG0000656	TRINITY_DN78339_c0_g1_i1.p1, TRINITY_DN63063_c0_g1_i1.p1	SPU_016520, SPU_028572
OG0000657	TRINITY_DN82749_c0_g1_i1.p1	SPU_003930, SPU_001727, SPU_027288
OG0000658	TRINITY_DN94478_c0_g1_i1.p1	SPU_016114
OG0000658	TRINITY_DN83357_c0_g1_i1.p1	SPU_011280
OG0000659	TRINITY_DN87778_c0_g1_i1.p1	SPU_002540, SPU_027917, SPU_010003
OG0000660	TRINITY_DN56515_c0_g1_i3.p1, TRINITY_DN90934_c0_g1_i1.p1	SPU_008193, SPU_010771
OG0000661	TRINITY_DN113387_c0_g1_i1.p1, TRINITY_DN91046_c0_g1_i1.p2, TRINITY_DN91398_c0_g1_i1.p1	SPU_024549
OG0000662	TRINITY_DN104264_c0_g1_i1.p1, TRINITY_DN51766_c0_g1_i1.p1, TRINITY_DN91021_c0_g1_i1.p1	SPU_002602
OG0000663	TRINITY_DN83058_c0_g1_i1.p1, TRINITY_DN92612_c0_g1_i1.p1	SPU_002180, SPU_002181
OG0000664	TRINITY_DN93757_c0_g1_i2.p1, TRINITY_DN80555_c0_g1_i1.p1	SPU_000864, SPU_026891
OG0000665	TRINITY_DN96221_c0_g1_i1.p1	SPU_004990
OG0000665	TRINITY_DN27659_c0_g1_i3.p1	SPU_018433
OG0000666	TRINITY_DN98382_c0_g1_i1.p1	SPU_012510, SPU_027535, SPU_011926
OG0000667	TRINITY_DN45134_c1_g1_i3.p1, TRINITY_DN99480_c0_g1_i1.p1	SPU_002594, SPU_026847
OG0000668	TRINITY_DN447_c0_g1_i3.p1	SPU_019971, SPU_017277, SPU_007885
OG0000669	TRINITY_DN491_c0_g1_i5.p1, TRINITY_DN491_c0_g1_i4.p1	SPU_028861, SPU_023932
OG0000670	TRINITY_DN2044_c0_g1_i16.p1	SPU_008926
OG0000670	TRINITY_DN455_c0_g1_i4.p1	SPU_022041
OG0000671	TRINITY_DN482_c1_g1_i11.p1	SPU_021350
OG0000671	TRINITY_DN482_c1_g1_i5.p1	SPU_020350
OG0000672	TRINITY_DN968_c0_g1_i8.p1, TRINITY_DN968_c0_g1_i5.p1, TRINITY_DN968_c0_g1_i1.p1	SPU_025515
OG0000673	TRINITY_DN919_c0_g1_i5.p1	SPU_017989, SPU_001866, SPU_017134
OG0000674	TRINITY_DN2072_c0_g1_i5.p1, TRINITY_DN2072_c0_g1_i7.p1, TRINITY_DN2072_c0_g1_i4.p1	SPU_002512
OG0000675	TRINITY_DN2074_c0_g1_i9.p1	SPU_024650, SPU_018437, SPU_028408
OG0000676	TRINITY_DN2038_c0_g1_i6.p1	SPU_004532, SPU_003042, SPU_020927
OG0000677	TRINITY_DN2209_c0_g1_i5.p1, TRINITY_DN2209_c0_g1_i6.p1	SPU_015676, SPU_017609
OG0000678	TRINITY_DN2212_c0_g1_i3.p1, TRINITY_DN2212_c0_g1_i4.p1, TRINITY_DN2212_c0_g1_i1.p1	SPU_016657
OG0000679	TRINITY_DN2205_c0_g1_i4.p1, TRINITY_DN2205_c0_g1_i7.p1, TRINITY_DN2205_c0_g1_i6.p1	SPU_007598
OG0000680	TRINITY_DN2271_c0_g1_i3.p1, TRINITY_DN2271_c0_g1_i2.p1	SPU_003410, SPU_001424
OG0000681	TRINITY_DN2346_c0_g1_i4.p1, TRINITY_DN2346_c0_g1_i3.p1, TRINITY_DN2346_c0_g1_i16.p1	SPU_011507
OG0000682	TRINITY_DN2397_c0_g1_i4.p1	SPU_017413
OG0000682	TRINITY_DN1973_c0_g1_i3.p1	SPU_017412
OG0000683	TRINITY_DN2517_c0_g1_i5.p1, TRINITY_DN2517_c0_g1_i3.p1	SPU_005654, SPU_020904
OG0000684	TRINITY_DN2543_c0_g1_i4.p1	SPU_000825, SPU_000827, SPU_000826
OG0000685	TRINITY_DN2714_c0_g1_i4.p1, TRINITY_DN2714_c0_g1_i1.p1, TRINITY_DN2714_c0_g1_i5.p1	SPU_022794
OG0000686	TRINITY_DN2713_c1_g1_i8.p1	SPU_007504
OG0000686	TRINITY_DN6507_c0_g1_i3.p1	SPU_019793
OG0000687	TRINITY_DN2792_c0_g1_i4.p1, TRINITY_DN2792_c0_g1_i5.p1, TRINITY_DN2792_c0_g1_i10.p1	SPU_023632
OG0000688	TRINITY_DN3208_c0_g1_i9.p1, TRINITY_DN3208_c0_g1_i12.p1, TRINITY_DN3208_c0_g1_i1.p1	SPU_011034
OG0000689	TRINITY_DN3205_c0_g1_i9.p1	SPU_014036, SPU_025514, SPU_017882
OG0000690	TRINITY_DN3224_c0_g1_i7.p1, TRINITY_DN3224_c0_g1_i2.p1	SPU_028480, SPU_017903
OG0000691	TRINITY_DN4081_c0_g1_i12.p1, TRINITY_DN4081_c0_g1_i4.p1, TRINITY_DN4081_c0_g1_i14.p1	SPU_001161
OG0000692	TRINITY_DN4042_c0_g1_i7.p1, TRINITY_DN4042_c0_g1_i2.p1	SPU_026761, SPU_012547
OG0000693	TRINITY_DN4066_c0_g1_i2.p1, TRINITY_DN4066_c0_g1_i4.p1, TRINITY_DN4066_c0_g1_i5.p1	SPU_011789
OG0000694	TRINITY_DN4451_c0_g1_i4.p1, TRINITY_DN4451_c0_g1_i5.p1	SPU_014333, SPU_026073
OG0000695	TRINITY_DN4575_c0_g1_i5.p1	SPU_014573, SPU_026225, SPU_011009
OG0000696	TRINITY_DN4571_c0_g1_i14.p1	SPU_015014
OG0000696	TRINITY_DN4571_c0_g1_i1.p1	SPU_011695
OG0000697	TRINITY_DN4642_c0_g1_i9.p1, TRINITY_DN4642_c0_g1_i10.p1, TRINITY_DN4642_c0_g1_i5.p1	SPU_010585
OG0000698	TRINITY_DN4839_c0_g1_i5.p1, TRINITY_DN4839_c0_g1_i7.p1, TRINITY_DN4839_c0_g1_i12.p1	SPU_004888
OG0000699	TRINITY_DN4819_c0_g1_i7.p1	SPU_009150
OG0000699	TRINITY_DN8977_c0_g1_i2.p2	SPU_001355
OG0000700	TRINITY_DN5004_c0_g1_i3.p1, TRINITY_DN5004_c0_g1_i4.p1, TRINITY_DN5004_c0_g1_i9.p1	SPU_005099
OG0000701	TRINITY_DN5097_c0_g1_i4.p1, TRINITY_DN5097_c0_g1_i5.p1	SPU_027284, SPU_022271
OG0000702	TRINITY_DN5011_c0_g1_i7.p1	SPU_002222, SPU_023593, SPU_002223
OG0000703	TRINITY_DN5000_c0_g1_i12.p1, TRINITY_DN5000_c0_g1_i17.p1, TRINITY_DN5000_c0_g1_i7.p1	SPU_003274
OG0000704	TRINITY_DN5112_c0_g1_i1.p1	SPU_022677, SPU_014849, SPU_014848
OG0000705	TRINITY_DN5431_c0_g1_i9.p1	SPU_016032
OG0000705	TRINITY_DN5687_c0_g1_i6.p1	SPU_023929
OG0000706	TRINITY_DN5615_c0_g1_i4.p1, TRINITY_DN5615_c0_g1_i7.p1, TRINITY_DN5615_c0_g1_i6.p1	SPU_027363
